name;email;affiliation
Inbal Talgam-Cohen;Inbal.Talgam-Cohen@gmail.com;Cornell University
Sean Follmer;Sean.Follmer@gmail.com;University of Cambridge
Marinka Zitnik;Marinka.Zitnik@gmail.com;UCL
Amit P. Sawant;Amit.Sawant@gmail.com;ETH Zurich
Christopher G. Healey;Christopher.Healey@gmail.com;National University of Singapore (NUS)
Adrian Scoica;Adrian.Scoica@gmail.com;Cornell University
William Stevenson;William.Stevenson@gmail.com;California Institute of Technology
Cara Cocking;Cara.Cocking@gmail.com;Peking University
Andrew Miller;Andrew.Miller@gmail.com;EPFL
Amitai Armon;Amitai.Armon@gmail.com;UCL
Lukas Biewald;Lukas.Biewald@gmail.com;ETH Zurich
George Athanasiou;George.Athanasiou@gmail.com;Princeton University
Leandros Tassiulas;Leandros.Tassiulas@gmail.com;Imperial College London
Gregory S. Yovanof;Gregory.Yovanof@gmail.com;Yale University
James Stanier;James.Stanier@gmail.com;EPFL
Polo Chau;Polo.Chau@gmail.com;Tsinghua University
Nick DePalma;Nick.DePalma@gmail.com;ETH Zurich
David Robert;David.Robert@gmail.com;Tsinghua University
Matt Tucker;Matt.Tucker@gmail.com;Imperial College London
Michael O'Brien;Michael.O'Brien@gmail.com;Cornell University
Samira Daruki;Samira.Daruki@gmail.com;University of Cambridge
Jason Ansel;Jason.Ansel@gmail.com;ETH Zurich
Cy P. Chan;Cy.Chan@gmail.com;The University of Edinburgh
Michael Zuba;Michael.Zuba@gmail.com;Peking University
Yanpei Chen;Yanpei.Chen@gmail.com;Harvard University
Andrew Ferguson;Andrew.Ferguson@gmail.com;Yale University
Brian Martin;Brian.Martin@gmail.com;Cornell University
Andrew Wang;Andrew.Wang@gmail.com;University of Oxford
Patrick Wendell;Patrick.Wendell@gmail.com;Harvard University
Justin Solomon;Justin.Solomon@gmail.com;Tsinghua University
Samantha Merritt;Samantha.Merritt@gmail.com;UCL
David A. Shamma;David.Shamma@gmail.com;Politecnico di Milano
Anshul Vikram Pandey;Anshul.Pandey@gmail.com;Tsinghua University
Joe Bungo;Joe.Bungo@gmail.com;University of Oxford
Ryan Nauman;Ryan.Nauman@gmail.com;California Institute of Technology
Casey Fiesler;Casey.Fiesler@gmail.com;University of Cambridge
Jeff Daniels;Jeff.Daniels@gmail.com;EPFL
Nithya Sambasivan;Nithya.Sambasivan@gmail.com;Princeton University
Rich Shay;Rich.Shay@gmail.com;EPFL
Aaron Roth;Aaron.Roth@gmail.com;University of Oxford
Chris Harrison;Chris.Harrison@gmail.com;Princeton University
Wendy A. Schafer;Wendy.Schafer@gmail.com;Princeton University
Doug A. Bowman;Doug.Bowman@gmail.com;University of Cambridge
John M. Carroll;John.Carroll@gmail.com;EPFL
Grigorios Loukides;Grigorios.Loukides@gmail.com;University of Chicago
Aris Gkoulalas-Divanis;Aris.Gkoulalas-Divanis@gmail.com;The University of Edinburgh
Robert C. Miller;Robert.Miller@gmail.com;National University of Singapore (NUS)
Greg Little;Greg.Little@gmail.com;Peking University
Michael S. Bernstein;Michael.Bernstein@gmail.com;National University of Singapore (NUS)
Jeffrey P. Bigham;Jeffrey.Bigham@gmail.com;Cornell University
Lydia B. Chilton;Lydia.Chilton@gmail.com;Stanford University
Max Goldman;Max.Goldman@gmail.com;Yale University
John Joseph Horton;John.Horton@gmail.com;University of Oxford
Rajeev Nayak;Rajeev.Nayak@gmail.com;UCL
Finn Kuusisto;Finn.Kuusisto@gmail.com;Cornell University
Jennifer C. Lai;Jennifer.Lai@gmail.com;Harvard University
Heba Elfardy;Heba.Elfardy@gmail.com;UCL
Mohamed Al-Badrashiny;Mohamed.Al-Badrashiny@gmail.com;Cornell University
Mona T. Diab;Mona.Diab@gmail.com;Politecnico di Milano
Dimitris Mitropoulos;Dimitris.Mitropoulos@gmail.com;The University of Edinburgh
Chris Jordan;Chris.Jordan@gmail.com;Tsinghua University
Umer Farooq;Umer.Farooq@gmail.com;Peking University
Chris Dondanville;Chris.Dondanville@gmail.com;Cornell University
Colin J. Ihrig;Colin.Ihrig@gmail.com;Tsinghua University
Brian O'Neill;Brian.O'Neill@gmail.com;Massachusetts Institute of Technology
Wolfgang Richter;Wolfgang.Richter@gmail.com;Politecnico di Milano
Wing H. Wong;Wing.Wong@gmail.com;ETH Zurich
Nikolai V. Hovanov;Nikolai.Hovanov@gmail.com;ETH Zurich
James W. Kolari;James.Kolari@gmail.com;Cornell University
Mikhail V. Sokolov;Mikhail.Sokolov@gmail.com;UCL
Naveen Bali;Naveen.Bali@gmail.com;University of Cambridge
Robert Aboukhalil;Robert.Aboukhalil@gmail.com;University of Cambridge
Kai Kunze;Kai.Kunze@gmail.com;Tsinghua University
Stuart Cheshire;Stuart.Cheshire@gmail.com;Princeton University
Sid Stamm;Sid.Stamm@gmail.com;Peking University
Ronald L. Boring;Ronald.Boring@gmail.com;Harvard University
Ben Deverett;Ben.Deverett@gmail.com;California Institute of Technology
Mike Verdicchio;Mike.Verdicchio@gmail.com;University of Pennsylvania
Zachary A. Kissel;Zachary.Kissel@gmail.com;Tsinghua University
Shlomo Hershkop;Shlomo.Hershkop@gmail.com;EPFL
Salvatore J. Stolfo;Salvatore.Stolfo@gmail.com;ETH Zurich
Yanet Manzano;Yanet.Manzano@gmail.com;Peking University
Joseph Nyiri;Joseph.Nyiri@gmail.com;UCL
Christoph Amma;Christoph.Amma@gmail.com;University of Pennsylvania
Tanja Schultz;Tanja.Schultz@gmail.com;The University of Edinburgh
Asaf Cidon;Asaf.Cidon@gmail.com;Harvard University
Tomer London;Tomer.London@gmail.com;Harvard University
Prabal Dutta;Prabal.Dutta@gmail.com;UCL
David Cope;David.Cope@gmail.com;Peking University
Brian Keegan;Brian.Keegan@gmail.com;Politecnico di Milano
Muhammad Aurangzeb Ahmad;Muhammad.Ahmad@gmail.com;University of Cambridge
Dmitri Williams;Dmitri.Williams@gmail.com;Politecnico di Milano
Jaideep Srivastava;Jaideep.Srivastava@gmail.com;ETH Zurich
Noshir S. Contractor;Noshir.Contractor@gmail.com;California Institute of Technology
Ethan Schaffer;Ethan.Schaffer@gmail.com;EPFL
Jarrod Trevathan;Jarrod.Trevathan@gmail.com;University of Oxford
Daniel Alex Finkelstein;Daniel.Finkelstein@gmail.com;Harvard University
Evan Peck;Evan.Peck@gmail.com;Yale University
Erin Treacy Solovey;Erin.Solovey@gmail.com;Tsinghua University
M. Six Silberman;M..Silberman@gmail.com;University of Cambridge
Lilly Irani;Lilly.Irani@gmail.com;National University of Singapore (NUS)
Joel Ross;Joel.Ross@gmail.com;Politecnico di Milano
Scott E. Hudson;Scott.Hudson@gmail.com;Stanford University
Debarka Sengupta;Debarka.Sengupta@gmail.com;Harvard University
Salik Syed;Salik.Syed@gmail.com;EPFL
K. E. Oliver;K..Oliver@gmail.com;EPFL
Aditya G. Parameswaran;Aditya.Parameswaran@gmail.com;Stanford University
William Ella;William.Ella@gmail.com;University of Cambridge
Khaled Labib;Khaled.Labib@gmail.com;ETH Zurich
Gregory M. Zaverucha;Gregory.Zaverucha@gmail.com;Yale University
Connor Bain;Connor.Bain@gmail.com;Tsinghua University
Vaggelis Giannikas;Vaggelis.Giannikas@gmail.com;Massachusetts Institute of Technology
Dominic Hobson;Dominic.Hobson@gmail.com;Tsinghua University
Kevin Fu;Kevin.Fu@gmail.com;National University of Singapore (NUS)
Ryan K. L. Ko;Ryan.Ko@gmail.com;The University of Edinburgh
Oliver Baltzer;Oliver.Baltzer@gmail.com;The University of Edinburgh
Sean Smith;Sean.Smith@gmail.com;Yale University
Gregory A. Newman;Gregory.Newman@gmail.com;National University of Singapore (NUS)
Steven Dow;Steven.Dow@gmail.com;National University of Singapore (NUS)
Burr Settles;Burr.Settles@gmail.com;University of Chicago
Sarah Cohen;Sarah.Cohen@gmail.com;UCL
Krysta Chauncey;Krysta.Chauncey@gmail.com;University of Oxford
Audrey Girouard;Audrey.Girouard@gmail.com;Stanford University
Rebecca Gulotta;Rebecca.Gulotta@gmail.com;EPFL
Francine Lalooses;Francine.Lalooses@gmail.com;University of Pennsylvania
Douglas Weaver;Douglas.Weaver@gmail.com;University of Oxford
Robert J. K. Jacob;Robert.Jacob@gmail.com;EPFL
Jason Thibodeau;Jason.Thibodeau@gmail.com;University of Chicago
Daniel Gooch;Daniel.Gooch@gmail.com;Cornell University
Jeffrey D. Ullman;Jeffrey.Ullman@gmail.com;Stanford University
Malay Bhattacharyya;Malay.Bhattacharyya@gmail.com;Yale University
Olivier St-Cyr;Olivier.St-Cyr@gmail.com;Yale University
Maire Byrne Evans;Maire.Evans@gmail.com;Tsinghua University
Christine Task;Christine.Task@gmail.com;University of Chicago
John C. Georgas;John.Georgas@gmail.com;Tsinghua University
Eric M. Dashofy;Eric.Dashofy@gmail.com;Yale University
Richard N. Taylor;Richard.Taylor@gmail.com;Massachusetts Institute of Technology
Viswam Nathan;Viswam.Nathan@gmail.com;University of Oxford
Subhasis Saha;Subhasis.Saha@gmail.com;University of Oxford
Yaser P. Fallah;Yaser.Fallah@gmail.com;The University of Edinburgh
Jonathan Kola;Jonathan.Kola@gmail.com;Peking University
David Chiu;David.Chiu@gmail.com;University of Pennsylvania
Ian Li;Ian.Li@gmail.com;Cornell University
Anind K. Dey;Anind.Dey@gmail.com;Peking University
Jodi Forlizzi;Jodi.Forlizzi@gmail.com;California Institute of Technology
Masami Hagiya;Masami.Hagiya@gmail.com;University of Chicago
Fumiaki Tanaka;Fumiaki.Tanaka@gmail.com;Cornell University
Ibuki Kawamata;Ibuki.Kawamata@gmail.com;Politecnico di Milano
Eric W. Frew;Eric.Frew@gmail.com;National University of Singapore (NUS)
Arefin Huq;Arefin.Huq@gmail.com;UCL
Ginger Myles;Ginger.Myles@gmail.com;Politecnico di Milano
Edward Z. Yang;Edward.Yang@gmail.com;University of Pennsylvania
Robert J. Simmons;Robert.Simmons@gmail.com;Politecnico di Milano
Ching Kang Cheng;Ching.Cheng@gmail.com;Imperial College London
Xiaoshan Pan;Xiaoshan.Pan@gmail.com;Yale University
Daniel Bauer;Daniel.Bauer@gmail.com;Stanford University
Dongfeng Chen;Dongfeng.Chen@gmail.com;Politecnico di Milano
Rada Chirkova;Rada.Chirkova@gmail.com;Massachusetts Institute of Technology
Broderick Causley;Broderick.Causley@gmail.com;University of Oxford
Alexandre Borghi;Alexandre.Borghi@gmail.com;The University of Edinburgh
Valentin David;Valentin.David@gmail.com;Princeton University
Akim Demaille;Akim.Demaille@gmail.com;University of Cambridge
Audrey Christophory;Audrey.Christophory@gmail.com;University of Oxford
Anna Ritchie;Anna.Ritchie@gmail.com;Massachusetts Institute of Technology
Thomas E. Royce;Thomas.Royce@gmail.com;Yale University
Rance Necaise;Rance.Necaise@gmail.com;Harvard University
Iren Valova;Iren.Valova@gmail.com;The University of Edinburgh
V. Balaji;V..Balaji@gmail.com;UCL
Bryan Stroube;Bryan.Stroube@gmail.com;Massachusetts Institute of Technology
Jonathan Friedman;Jonathan.Friedman@gmail.com;Harvard University
Michael Cook;Michael.Cook@gmail.com;Peking University
Svetlana Yarosh;Svetlana.Yarosh@gmail.com;University of Cambridge
Luca Trevisan;Luca.Trevisan@gmail.com;Yale University
Andrew Cron;Andrew.Cron@gmail.com;University of Oxford
Huy L. Nguyen;Huy.Nguyen@gmail.com;The University of Edinburgh
Jack Wilson;Jack.Wilson@gmail.com;California Institute of Technology
Sebastian Tyrrell;Sebastian.Tyrrell@gmail.com;Princeton University
Harlan Yu;Harlan.Yu@gmail.com;Tsinghua University
Stephen Schultze;Stephen.Schultze@gmail.com;National University of Singapore (NUS)
Santosh Kumar Kalwar;Santosh.Kalwar@gmail.com;Stanford University
M. Carmen Juan Lizandra;M..Lizandra@gmail.com;University of Oxford
Mariano Felice;Mariano.Felice@gmail.com;National University of Singapore (NUS)
Zheng Yuan;Zheng.Yuan@gmail.com;Princeton University
Ran Halprin;Ran.Halprin@gmail.com;California Institute of Technology
Moni Naor;Moni.Naor@gmail.com;Massachusetts Institute of Technology
Patrick Baudisch;Patrick.Baudisch@gmail.com;Imperial College London
Christian Holz;Christian.Holz@gmail.com;Massachusetts Institute of Technology
Kostas Pentikousis;Kostas.Pentikousis@gmail.com;Peking University
Alexander Bick;Alexander.Bick@gmail.com;Princeton University
Desney S. Tan;Desney.Tan@gmail.com;University of Oxford
Dan Morris;Dan.Morris@gmail.com;EPFL
T. Scott Saponas;T..Saponas@gmail.com;California Institute of Technology
Jason Dyer;Jason.Dyer@gmail.com;Yale University
Lynellen D. S. Perry;Lynellen.Perry@gmail.com;University of Oxford
Freada Kapor Klein;Freada.Klein@gmail.com;National University of Singapore (NUS)
Ana Díaz-Hernández;Ana.Díaz-Hernández@gmail.com;Tsinghua University
James Stewart;James.Stewart@gmail.com;University of Pennsylvania
Jeremy T. Lanman;Jeremy.Lanman@gmail.com;UCL
Bryan Stroubeé;Bryan.Stroubeé@gmail.com;UCL
Fernando Berzal Galiano;Fernando.Galiano@gmail.com;Tsinghua University
Aveek Dutta;Aveek.Dutta@gmail.com;Cornell University
Dola Saha;Dola.Saha@gmail.com;Yale University
Panagiotis G. Ipeirotis;Panagiotis.Ipeirotis@gmail.com;Yale University
Gary Hsieh;Gary.Hsieh@gmail.com;Yale University
Lea Rosen;Lea.Rosen@gmail.com;University of Oxford
Deian Stefan;Deian.Stefan@gmail.com;Imperial College London
Arka Bhattacharya;Arka.Bhattacharya@gmail.com;Yale University
Heidi Thornquist;Heidi.Thornquist@gmail.com;UCL
Eric R. Keiter;Eric.Keiter@gmail.com;ETH Zurich
Sivasankaran Rajamanickam;Sivasankaran.Rajamanickam@gmail.com;The University of Edinburgh
Steven Letendre;Steven.Letendre@gmail.com;The University of Edinburgh
Willet Kempton;Willet.Kempton@gmail.com;Princeton University
Jasna Tomic;Jasna.Tomic@gmail.com;University of Pennsylvania
Tawanna Dillahunt;Tawanna.Dillahunt@gmail.com;Tsinghua University
Jennifer Mankoff;Jennifer.Mankoff@gmail.com;ETH Zurich
Girish Suryanarayana;Girish.Suryanarayana@gmail.com;Princeton University
Mamadou H. Diallo;Mamadou.Diallo@gmail.com;University of Oxford
Justin R. Erenkrantz;Justin.Erenkrantz@gmail.com;Imperial College London
Ana Belén Gil;Ana.Gil@gmail.com;University of Oxford
Francisco García;Francisco.García@gmail.com;Cornell University
Premshree Pillai;Premshree.Pillai@gmail.com;EPFL
Andrea Bittau;Andrea.Bittau@gmail.com;EPFL
Philip C. Ritchey;Philip.Ritchey@gmail.com;Politecnico di Milano
Mark A. Cohen;Mark.Cohen@gmail.com;University of Oxford
Ashwin Machanavajjhala;Ashwin.Machanavajjhala@gmail.com;Stanford University
Jerome P. Reiter;Jerome.Reiter@gmail.com;Yale University
Pierpaolo Baccichet;Pierpaolo.Baccichet@gmail.com;Harvard University
Eric D. Scheirer;Eric.Scheirer@gmail.com;Massachusetts Institute of Technology
Caio Camargo;Caio.Camargo@gmail.com;UCL
Gidi Nave;Gidi.Nave@gmail.com;Yale University
Gabriele Spina;Gabriele.Spina@gmail.com;UCL
Oliver Amft;Oliver.Amft@gmail.com;Peking University
Mike Maxim;Mike.Maxim@gmail.com;University of Pennsylvania
Karl Trygve Kalleberg;Karl.Kalleberg@gmail.com;University of Chicago
Dario Bonino;Dario.Bonino@gmail.com;Harvard University
Luigi De Russis;Luigi.Russis@gmail.com;University of Chicago
Luigi Montanez;Luigi.Montanez@gmail.com;California Institute of Technology
Jon Froehlich;Jon.Froehlich@gmail.com;UCL
Tobias Berg;Tobias.Berg@gmail.com;Tsinghua University
Rebecca Apel;Rebecca.Apel@gmail.com;Harvard University
Carmen Leicht-Scholten;Carmen.Leicht-Scholten@gmail.com;California Institute of Technology
Gang Gao;Gang.Gao@gmail.com;The University of Edinburgh
Paul Cockshott;Paul.Cockshott@gmail.com;UCL
David Salomon;David.Salomon@gmail.com;California Institute of Technology
Angela Crandall;Angela.Crandall@gmail.com;Tsinghua University
Rhoda Omenya;Rhoda.Omenya@gmail.com;University of Oxford
Dan Sturges;Dan.Sturges@gmail.com;Cornell University
Hossein Mobahi;Hossein.Mobahi@gmail.com;University of Pennsylvania
Karrie G. Karahalios;Karrie.Karahalios@gmail.com;Yale University
Matt Waite;Matt.Waite@gmail.com;UCL
Pierre Lison;Pierre.Lison@gmail.com;Peking University
Raveesh Meena;Raveesh.Meena@gmail.com;National University of Singapore (NUS)
Richard Bergmair;Richard.Bergmair@gmail.com;UCL
Mladen Milosevic;Mladen.Milosevic@gmail.com;University of Oxford
Aleksandar Milenkovic;Aleksandar.Milenkovic@gmail.com;University of Pennsylvania
Emil Jovanov;Emil.Jovanov@gmail.com;University of Oxford
John Langford;John.Langford@gmail.com;EPFL
Kate Patterson;Kate.Patterson@gmail.com;California Institute of Technology
Daniel Lewis;Daniel.Lewis@gmail.com;National University of Singapore (NUS)
Johnny Rodgers;Johnny.Rodgers@gmail.com;Politecnico di Milano
Lyn Bartram;Lyn.Bartram@gmail.com;Imperial College London
Rob Woodbury;Rob.Woodbury@gmail.com;University of Oxford
Craig Thomas;Craig.Thomas@gmail.com;Tsinghua University
Frank Liechtenstein;Frank.Liechtenstein@gmail.com;Stanford University
Leo Bonanni;Leo.Bonanni@gmail.com;University of Cambridge
Bong-Huan Jun;Bong-Huan.Jun@gmail.com;University of Cambridge
Hyungwon Shim;Hyungwon.Shim@gmail.com;Stanford University
Jesse Beach;Jesse.Beach@gmail.com;Politecnico di Milano
Gordon Kurtenbach;Gordon.Kurtenbach@gmail.com;University of Chicago
Jay Patel;Jay.Patel@gmail.com;University of Oxford
Donald A. Norman;Donald.Norman@gmail.com;Politecnico di Milano
Bill Weihl;Bill.Weihl@gmail.com;ETH Zurich
Erik Teetzel;Erik.Teetzel@gmail.com;UCL
Jimmy Clidaras;Jimmy.Clidaras@gmail.com;Massachusetts Institute of Technology
Chris Malone;Chris.Malone@gmail.com;Princeton University
Joe Kava;Joe.Kava@gmail.com;Politecnico di Milano
Michael Ryan;Michael.Ryan@gmail.com;Imperial College London
Christopher Scaffidi;Christopher.Scaffidi@gmail.com;UCL
Eric C. Rouchka;Eric.Rouchka@gmail.com;UCL
Michael Mitzenmacher;Michael.Mitzenmacher@gmail.com;EPFL
Ian Horswill;Ian.Horswill@gmail.com;Imperial College London
Saveen Reddy;Saveen.Reddy@gmail.com;Politecnico di Milano
Leslie Sandoval;Leslie.Sandoval@gmail.com;National University of Singapore (NUS)
Olivia Simpson;Olivia.Simpson@gmail.com;Tsinghua University
Gideon Juve;Gideon.Juve@gmail.com;Peking University
Sofia Gleni;Sofia.Gleni@gmail.com;Cornell University
Panagiotis Petratos;Panagiotis.Petratos@gmail.com;Peking University
David Gleich;David.Gleich@gmail.com;California Institute of Technology
José Hilario Canós Cerdá;José.Cerdá@gmail.com;University of Cambridge
Tiffany Holmes;Tiffany.Holmes@gmail.com;University of Cambridge
Roya Feizy;Roya.Feizy@gmail.com;California Institute of Technology
Ian Wakeman;Ian.Wakeman@gmail.com;University of Oxford
Dan Chalmers;Dan.Chalmers@gmail.com;Imperial College London
Aaron McCoy;Aaron.McCoy@gmail.com;Massachusetts Institute of Technology
Declan Delaney;Declan.Delaney@gmail.com;University of Oxford
Tomás Ward;Tomás.Ward@gmail.com;California Institute of Technology
Christina Pop;Christina.Pop@gmail.com;EPFL
Zahra Ferdowsi;Zahra.Ferdowsi@gmail.com;Princeton University
Eve Fine;Eve.Fine@gmail.com;Yale University
Amy Wendt;Amy.Wendt@gmail.com;Harvard University
Molly Carnes;Molly.Carnes@gmail.com;National University of Singapore (NUS)
Raghotham Murthy;Raghotham.Murthy@gmail.com;Yale University
Rajat Goel;Rajat.Goel@gmail.com;Politecnico di Milano
Dennis Shasha;Dennis.Shasha@gmail.com;Tsinghua University
Robert Dewar;Robert.Dewar@gmail.com;Yale University
Owen L. Astrachan;Owen.Astrachan@gmail.com;University of Chicago
Somdip Dey;Somdip.Dey@gmail.com;Massachusetts Institute of Technology
Terhi Nurmikko-Fuller;Terhi.Nurmikko-Fuller@gmail.com;Massachusetts Institute of Technology
Thomas Wright;Thomas.Wright@gmail.com;University of Pennsylvania
Ryan Kelly;Ryan.Kelly@gmail.com;Princeton University
Amit Chourasia;Amit.Chourasia@gmail.com;Peking University
Ewa Deelman;Ewa.Deelman@gmail.com;Massachusetts Institute of Technology
Shahriar Manzoor;Shahriar.Manzoor@gmail.com;University of Pennsylvania
Marc Perron;Marc.Perron@gmail.com;University of Pennsylvania
Sarita Yardi;Sarita.Yardi@gmail.com;University of Pennsylvania
Pedro Lopes;Pedro.Lopes@gmail.com;Yale University
Yanru Zhang;Yanru.Zhang@gmail.com;Peking University
Michael Weiss;Michael.Weiss@gmail.com;University of Cambridge
George Sakkis;George.Sakkis@gmail.com;University of Chicago
Ronitt Rubinfeld;Ronitt.Rubinfeld@gmail.com;The University of Edinburgh
Farnaz Ronaghi;Farnaz.Ronaghi@gmail.com;University of Oxford
Dmitry Batenkov;Dmitry.Batenkov@gmail.com;UCL
Zeljko Obrenovic;Zeljko.Obrenovic@gmail.com;Politecnico di Milano
Vassilios Karakoidas;Vassilios.Karakoidas@gmail.com;The University of Edinburgh
Paula Bach;Paula.Bach@gmail.com;Tsinghua University
Tronster Hartley;Tronster.Hartley@gmail.com;Princeton University
Wayne Read;Wayne.Read@gmail.com;University of Pennsylvania
Virginia Grande;Virginia.Grande@gmail.com;University of Oxford
Parveen Patel;Parveen.Patel@gmail.com;Princeton University
Douglas Hofstadter;Douglas.Hofstadter@gmail.com;University of Pennsylvania
Daniel W. Goldberg;Daniel.Goldberg@gmail.com;Princeton University
Sergi Jordà;Sergi.Jordà@gmail.com;The University of Edinburgh
Carles Fernandes Julià;Carles.Julià@gmail.com;Tsinghua University
Daniel Gallardo;Daniel.Gallardo@gmail.com;Yale University
Scott Delman;Scott.Delman@gmail.com;University of Chicago
