Oussama Khatib;Oussama.Khatib@gmail.com;Austria
Shuvra S. Bhattacharyya;Shuvra.Bhattacharyya@gmail.com;Japan
Ed F. Deprettere;Ed.Deprettere@gmail.com;United States
Rainer Leupers;Rainer.Leupers@gmail.com;Egypt
Jarmo Takala;Jarmo.Takala@gmail.com;Israel
Arthur Tatnall;Arthur.Tatnall@gmail.com;People's Republic of China
Janglin Chen;Janglin.Chen@gmail.com;United Kingdom
Wayne Cranton;Wayne.Cranton@gmail.com;Saudi Arabia
Mark Fihn;Mark.Fihn@gmail.com;Greece
Reda Alhajj;Reda.Alhajj@gmail.com;Egypt
Jon G. Rokne;Jon.Rokne@gmail.com;Israel
Jacob E. Goodman;Jacob.Goodman@gmail.com;Mexico
Joseph O'Rourke;Joseph.O'Rourke@gmail.com;Ukraine
Stan Z. Li;Stan.Li@gmail.com;Austria
Anil K. Jain;Anil.Jain@gmail.com;Egypt
Max Mühlhäuser;Max.Mühlhäuser@gmail.com;Turkey
Iryna Gurevych;Iryna.Gurevych@gmail.com;South Korea
Sigrid Kelsey;Sigrid.Kelsey@gmail.com;Sweden
Kirk St. Amant;Kirk.Amant@gmail.com;Egypt
Katsushi Ikeuchi;Katsushi.Ikeuchi@gmail.com;Egypt
Benjamin W. Wah;Benjamin.Wah@gmail.com;Norway
Juan R. Rabuñal;Juan.Rabuñal@gmail.com;United Kingdom
Julian Dorado;Julian.Dorado@gmail.com;Brazil
Alejandro Pazos;Alejandro.Pazos@gmail.com;Brazil
Shimon Y. Nof;Shimon.Nof@gmail.com;Netherlands
David A. Padua;David.Padua@gmail.com;Netherlands
Michael Gertz;Michael.Gertz@gmail.com;Germany
David S. Doermann;David.Doermann@gmail.com;Brazil
Karl Tombre;Karl.Tombre@gmail.com;Canada
Claude Sammut;Claude.Sammut@gmail.com;Italy
Geoffrey I. Webb;Geoffrey.Webb@gmail.com;Turkey
Wai-Kai Chen;Wai-Kai.Chen@gmail.com;Mexico
Francesco Ricci;Francesco.Ricci@gmail.com;Egypt
Bracha Shapira;Bracha.Shapira@gmail.com;France
Paul B. Kantor;Paul.Kantor@gmail.com;Ukraine
Chang-Tsun Li;Chang-Tsun.Li@gmail.com;Greece
Nabil R. Adam;Nabil.Adam@gmail.com;Norway
Bharat K. Bhargava;Bharat.Bhargava@gmail.com;Japan
Andreas Podelski;Andreas.Podelski@gmail.com;Ukraine
Otthein Herzog;Otthein.Herzog@gmail.com;Spain
Claus-Rainer Rollinger;Claus-Rainer.Rollinger@gmail.com;Israel
Zhigeng Pan;Zhigeng.Pan@gmail.com;Austria
Adrian David Cheok;Adrian.Cheok@gmail.com;Sweden
Wolfgang Müller;Wolfgang.Müller@gmail.com;South Korea
Abdennour El Rhalibi;Abdennour.Rhalibi@gmail.com;Switzerland
Xiaopeng Zhang ;Xiaopeng.Zhang@gmail.com;Austria
Kevin Wong;Kevin.Wong@gmail.com;Greece
Maiga Chang;Maiga.Chang@gmail.com;Egypt
Mingmin Zhang;Mingmin.Zhang@gmail.com;Denmark
Ido Iurgel;Ido.Iurgel@gmail.com;Spain
Paolo Petta;Paolo.Petta@gmail.com;France
Bodo Urban;Bodo.Urban@gmail.com;Brazil
Xubo Yang;Xubo.Yang@gmail.com;Greece
Fotis Liarokapis;Fotis.Liarokapis@gmail.com;Australia
